ID,trial,log_RT
1015,1,6.274162454230189
1015,2,6.2809868284912564
1015,3,6.284181443857186
1015,4,6.201592679978853
1015,5,6.275980923772682
1015,6,6.286402107995557
1015,7,6.226213707799836
1015,8,6.207771879972302
1015,9,6.14622305089295
1015,10,6.172623808113624
1015,11,6.274883307442272
1015,12,6.2998896684168155
1015,13,6.2558232487032335
1015,14,6.2399751314053375
1015,15,6.237987787163547
1015,16,6.1576957313147975
1015,17,6.247501056304261
1015,18,6.249926566232867
1015,19,6.1781626003699
1015,20,6.219889404799005
1015,21,6.218033491410917
1015,22,6.240793023219824
1015,23,6.184165406490559
1015,24,6.227784589297977
1015,25,6.2334133993069845
1015,26,6.206645974831171
1015,27,6.224398736366732
1015,28,6.218367004432131
1015,29,6.211750632065215
1015,30,6.2212785802645385
1015,31,6.319630670872709
1015,32,6.238319590911184
1015,33,6.209772709228993
1015,34,6.203851108910737
1015,35,6.187455703663748
1015,36,6.2226048227955575
1015,37,6.2186930436298535
1015,38,6.2164118900083665
1015,39,6.218288264524558
1015,40,6.211742127237709
1015,41,6.206645519449092
1015,42,6.2168045667356875
1015,43,6.191638086985977
1015,44,6.217454115986863
1015,45,6.201804923783065
1015,46,6.201305445165932
1015,47,6.206182733385697
1015,48,6.200614849779999
1015,49,6.184420529927185
1015,50,6.211292906549618
1015,51,6.199616608326673
1015,52,6.182660142276095
1015,53,6.20158376579207
1015,54,6.214686119160842
1015,55,6.188298849765761
1015,56,6.187713519448025
1015,57,6.196864062115532
1015,58,6.1953994223149955
1015,59,6.173954563951077
1015,60,6.19261192808527
1015,61,6.221689178951319
1015,62,6.188378674094383
1015,63,6.175453102216698
1015,64,6.185423920534184
1015,65,6.17322501147285
1015,66,6.221678327780148
1015,67,6.199247082423327
1015,68,6.206974166016539
1015,69,6.204095301546381
1015,70,6.1862669783857385
1015,71,6.170335224920047
1015,72,6.191425970538124
1015,73,6.1917571248193335
1015,74,6.177988906679058
1015,75,6.209736678357617
1015,76,6.186594337926927
1015,77,6.189008837527084
1015,78,6.214004142441233
1015,79,6.201197602665484
1015,80,6.2032026558101405
1015,81,6.195325577844659
1015,82,6.1851221259702855
1015,83,6.18443987662698
1015,84,6.197340744810905
1015,85,6.178702452648713
1015,86,6.177883583539923
1015,87,6.166484571583044
1015,88,6.189119460881644
1015,89,6.192388135150095
1015,90,6.190137714176917
1015,91,6.203570326210471
1015,92,6.191540159152209
1015,93,6.18929411094129
1015,94,6.199610686148153
1015,95,6.312964492810512
1015,96,6.199008058806088
1015,97,6.189088632902514
1015,98,6.195575761315446
1015,99,6.196613009569738
1015,100,6.188982139128547
1015,101,6.207147469610083
1015,102,6.207165466419378
1015,103,6.193041569597508
1015,104,6.207090797645689
1015,105,6.203041602949785
1015,106,6.17889054777959
1015,107,6.195767320309799
1015,108,6.186041872879621
1015,109,6.194101873258309
1015,110,6.183208954437449
1015,111,6.315347270675321
1015,112,6.216994730012271
1015,113,6.184922881323074
1015,114,6.217262666774463
1015,115,6.1924599168448555
1015,116,6.17400518729785
1015,117,6.199129038577417
1015,118,6.1833051777306
1015,119,6.187081575299029
1015,120,6.185748003812993
1015,121,6.178163158947834
1015,122,6.203058834741867
1015,123,6.186767620578097
1015,124,6.180252233971994
1015,125,6.203798085411664
1015,126,6.184146119594981
1015,127,6.313228507140044
1015,128,6.179560197105912
1015,129,6.183638849062795
1015,130,6.204660769145423
1015,131,6.186994362419423
1015,132,6.194049521919204
1015,133,6.197365677442453
1015,134,6.188854221444325
1015,135,6.164903790926676
1015,136,6.178643032227953
1015,137,6.195931733770491
1015,138,6.178238746797333
1015,139,6.181770107939114
1015,140,6.1762386749005085
1015,141,6.17400111747692
1015,142,6.216177906134352
1015,143,6.1790678065898295
1015,144,6.194947497918861
