SID,surprise
1003,1.386294361
1003,1.386294361
1003,1.462276944
1003,1.386294361
1003,1.312202654
1003,1.182637332
1003,1.177907024
1003,1.156475267
1003,1.540113277
1003,1.4703321
1003,1.543823981
1003,1.306615029
1003,1.236931227
1003,1.208678734
1003,1.469597333
1003,1.450726628
1003,1.238449189
1003,1.352569723
1003,1.560236599
1003,1.563535581
1003,1.163941487
1003,1.322242107
1003,1.31971222
1003,1.613764429
1003,1.590847101
1003,1.466589021
1003,1.445111267
1003,1.392277662
1003,1.398836966
1003,1.419014986
1003,1.442789658
1003,1.356827112
1003,1.275094268
1003,1.383822136
1003,1.400718681
1003,1.519133483
1003,1.497304605
1003,1.444353384
1003,1.414296301
1003,1.389669867
1003,1.399730117
1003,1.38778732
1003,1.429635099
1003,1.373714427
1003,1.199817049
1003,1.335121777
1003,1.194434169
1003,1.324068197
1003,1.376054265
1003,1.338428208
1003,1.398972788
1003,1.436562732
1003,1.283174403
1003,1.258984611
1003,1.267573099
1003,1.326848066
1003,1.52328907
1003,1.487366931
1003,1.279612116
1003,1.253250348
1003,1.2197455
1003,1.215602397
1003,1.555087743
1003,1.505916804
1003,1.489696802
1003,1.45164755
1003,1.250152423
1003,1.212587165
1003,1.223076869
1003,1.199452062
1003,1.385721119
1003,1.470798711
1003,1.429812273
1003,1.500830161
1003,1.51302466
1003,1.4639662
1003,1.421262593
1003,1.395013113
1003,1.296034341
1003,1.280665174
1003,1.293032036
1003,1.427714051
1003,1.106916835
1003,1.102187915
1003,1.108838189
1003,1.343499971
1003,1.449192462
1003,1.352669551
1003,1.457738843
1003,1.500867018
1003,1.482321434
1003,1.450141628
1003,1.414374653
1003,1.418792341
1003,1.274343261
1003,1.376335716
1003,1.290977383
1003,1.401300312
1003,1.418896214
1003,1.408088918
1003,1.410578373
1003,1.384095534
1003,1.362256865
1003,1.294825333
1003,1.371409984
1003,1.384716749
1003,1.262777682
1003,1.374841966
1003,1.365345928
1003,1.336091819
1003,1.38556733
1003,1.331814092
1003,1.333048216
1003,1.323630422
1003,1.354103
1003,1.384958435
1003,1.507091795
1003,1.44047347
1003,1.181695834
1003,1.273458516
1003,1.22977374
1003,1.339939327
1003,1.360002789
1003,1.395546968
1003,1.323783351
1003,1.243534477
1003,1.154922439
1003,1.167021743
1003,1.359239691
1003,1.409054139
1003,1.442569561
1003,1.40423647
1003,1.457626945
1003,1.42015878
1003,1.295719777
1003,1.240085328
1003,1.193673352
1003,1.10025822
1003,1.319072012
1003,1.399274126
1003,1.44777726
1003,1.329073896
1003,1.318084324
1003,1.368453759
