SID,parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
1004,xprob_volatility,-6.0446,0.3293,0.0043,5877.2806,5279.6765,1.0003,0.0439
1004,regression_intercept,4.6212,0.2226,0.0042,2879.7487,3446.9533,1.0008,0.0215
1004,regression_beta_surprise,0.5321,0.0851,0.0016,2898.9179,3302.9291,1.0007,0.0217
1004,regression_beta_post_reversal,0.009,0.0089,0.0001,5521.4586,5677.1089,0.9999,0.0413
1013,regression_beta_unexpected_uncertainty,-5.1622,0.7966,0.0164,2368.8782,3792.2064,1.0016,0.0156
1013,regression_noise,0.1883,0.0031,0,7244.5593,4808.1181,1.0002,0.0478
1013,regression_beta_expected_uncertainty,-1.9873,0.3769,0.0064,3432.7624,4687.44,1.0013,0.0226
1013,regression_beta_post_error,-0.0194,0.0485,0.0006,6353.9275,5467.8089,1.001,0.0419
1013,xprob_volatility,-7.897,0.4844,0.0069,5164.6343,4473.7407,1.0003,0.0341
1013,regression_intercept,8.4641,0.3057,0.0065,2249.1577,3175.5651,1.0017,0.0148
1013,regression_beta_surprise,-0.8113,0.1122,0.0023,2344.9223,3388.1232,1.0016,0.0155
1013,regression_beta_post_reversal,-0.1057,0.0101,0.0002,4356.8256,5034.8234,1.0003,0.0287
1016,regression_beta_unexpected_uncertainty,-1.0606,0.9485,0.1109,86.7477,1700.7776,1.0925,0.0006
1016,regression_noise,0.1538,0.0025,0,4510.3354,4584.4929,1.001,0.0322
1016,regression_beta_expected_uncertainty,0.3872,0.4686,0.0479,97.7016,1253.249,1.079,0.0007
1016,regression_beta_post_error,0.0739,0.0245,0.0004,4107.3012,3985.2212,1.0008,0.0293
1016,xprob_volatility,-4.3937,1.7264,0.2275,80.4142,1316.3335,1.099,0.0006
1016,regression_intercept,6.2104,0.4122,0.0515,83.7787,1399.0893,1.096,0.0006
1016,regression_beta_surprise,-0.1502,0.117,0.0133,91.2984,1431.3406,1.0922,0.0007
1016,regression_beta_post_reversal,0.0377,0.0104,0.0009,132.1048,1789.7045,1.0576,0.0009
1027,regression_beta_unexpected_uncertainty,-3.3821,0.9204,0.0177,2714.7289,3538.6823,1.003,0.0182
1027,regression_noise,0.2208,0.0037,0,6301.5266,4852.9338,1.0014,0.0423
1027,regression_beta_expected_uncertainty,-0.9627,0.4426,0.0071,3881.3198,4750.4029,1.0014,0.026
1027,regression_beta_post_error,0.1456,0.0222,0.0003,7039.3501,5258.9622,1.0013,0.0472
1027,xprob_volatility,-7.5989,0.6541,0.0092,5099.37,4800.8299,1.0003,0.0342
1027,regression_intercept,7.1286,0.3358,0.0065,2651.0523,3241.0157,1.0036,0.0178
1027,regression_beta_surprise,-0.3644,0.1198,0.0023,2764.0827,3682.0604,1.0038,0.0185
1027,regression_beta_post_reversal,-0.0712,0.012,0.0002,4932.1412,5691.4959,1.001,0.0331
1044,regression_beta_unexpected_uncertainty,0.0947,0.739,0.0218,1194.1846,2746.2088,1.0013,0.008
1044,regression_noise,0.1889,0.0031,0,4341.8916,4199.358,1.0005,0.0291
1044,regression_beta_expected_uncertainty,0.0709,0.6773,0.0197,1221.1834,3284.8455,1.0033,0.0082
1044,regression_beta_post_error,0.1485,0.0297,0.0004,4544.5031,4506.0364,1.0011,0.0304
1044,xprob_volatility,-5.0543,1.2639,0.0403,1129.0958,2318.2563,1.0021,0.0076
1044,regression_intercept,6.0841,0.2734,0.0082,1170.3705,2438.9948,1.0008,0.0078
1044,regression_beta_surprise,0.1156,0.1299,0.0042,1006.3595,2889.6039,1.0013,0.0067
1044,regression_beta_post_reversal,-0.0556,0.0104,0.0002,2189.6766,3574.7772,0.9999,0.0147
1022,regression_beta_unexpected_uncertainty,-1.6935,0.8716,0.0192,2054.3174,2704.1156,1.0015,0.0137
1022,regression_noise,0.2179,0.0036,0,6388.2955,4900.7742,1.0012,0.0427
1022,regression_beta_expected_uncertainty,-1.0113,0.4837,0.0079,3791.0195,3644.5987,1.0011,0.0253
1022,regression_beta_post_error,0.1137,0.0221,0.0003,6176.9639,4944.1926,0.9999,0.0412
1022,xprob_volatility,-6.4357,0.7177,0.0145,3597.0824,2505.2677,1.0006,0.024
1022,regression_intercept,6.4262,0.3186,0.007,2059.5913,2968.1416,1.0017,0.0138
1022,regression_beta_surprise,-0.1768,0.117,0.0025,2235.7452,3427.4608,1.0015,0.0149
1022,regression_beta_post_reversal,0.0305,0.0126,0.0002,3568.8092,4700.98,1.0003,0.0238
1039,regression_beta_unexpected_uncertainty,-1.9201,0.7278,0.0173,1783.9081,1717.4255,1.0015,0.011
1039,regression_noise,0.1531,0.0026,0,6870.4643,5100.5331,1.0007,0.0425
1039,regression_beta_expected_uncertainty,-0.1149,0.3521,0.0056,3922.999,4915.7893,1.0007,0.0243
1039,regression_beta_post_error,0.1096,0.032,0.0004,5769.0147,5221.7097,1.0013,0.0357
1039,xprob_volatility,-6.4826,0.9529,0.0231,2325.6655,1335.6939,1.0006,0.0144
1039,regression_intercept,6.5928,0.2674,0.0065,1730.9804,1469.8431,1.0018,0.0107
1039,regression_beta_surprise,-0.2588,0.0905,0.0021,1895.4648,1885.4117,1.0018,0.0117
1039,regression_beta_post_reversal,0.0123,0.0092,0.0002,2960.6857,3449.079,1.001,0.0183
1046,regression_beta_unexpected_uncertainty,-4.2173,0.5706,0.0118,2334.9847,3870.3964,1.0011,0.0156
1046,regression_noise,0.1243,0.002,0,6731.452,5602.7573,1.0001,0.0449
1046,regression_beta_expected_uncertainty,-0.1254,0.2533,0.0046,3051.5365,4324.9976,1.0012,0.0204
1046,regression_beta_post_error,0.123,0.0293,0.0004,6406.1808,5214.6317,1.0005,0.0427
1046,xprob_volatility,-8.2742,0.7204,0.011,4842.1608,3598.1716,1,0.0323
1046,regression_intercept,7.4539,0.2075,0.0045,2164.0745,3502.6264,1.0013,0.0144
1046,regression_beta_surprise,-0.5644,0.0727,0.0016,2181.425,3648.4984,1.0013,0.0146
1046,regression_beta_post_reversal,-0.0257,0.0068,0.0001,4827.4138,4873.1429,1.0008,0.0322
