SID,parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
1018,regression_beta_post_reversal,0.0157,0.0085,0.0001,6678.4491,4984.2245,1.0002,0.0633
1019,regression_beta_unexpected_uncertainty,0.5,0.2985,0.0054,3081.1684,4146.9183,1.0013,0.0342
1019,regression_noise,0.136,0.0023,0,7549.0918,4768.7015,1.0002,0.0838
1019,regression_beta_expected_uncertainty,-0.1021,0.3121,0.0046,4663.734,4272.0968,1.0024,0.0518
1019,regression_beta_post_error,0.0989,0.0223,0.0003,6896.82,5032.4313,1.0004,0.0766
1019,xprob_volatility,-3.6181,0.5493,0.0091,3742.4981,3754.8498,1.0011,0.0415
1019,regression_intercept,5.4676,0.0961,0.0017,3100.9675,3959.2932,1.0009,0.0344
1019,regression_beta_surprise,0.0679,0.0373,0.0007,3029.9019,4250.1995,1.0016,0.0336
1019,regression_beta_post_reversal,0.045,0.0065,0.0001,7938.0684,5893.4405,0.9999,0.0881
1047,regression_beta_unexpected_uncertainty,0.734,0.6709,0.0149,2016.3662,2689.2397,1.0021,0.016
1047,regression_noise,0.2031,0.0034,0,5295.8569,5516.7686,1.0005,0.042
1047,regression_beta_expected_uncertainty,0.9133,0.5649,0.009,3861.2737,3525.7206,1.0002,0.0306
1047,regression_beta_post_error,0.1533,0.0324,0.0004,5793.9345,4626.4114,1.0002,0.046
1047,xprob_volatility,-4.7952,0.6999,0.0174,2327.5024,1697.1178,1.0007,0.0185
1047,regression_intercept,5.7389,0.2294,0.005,2082.8595,2472.2909,1.0019,0.0165
1047,regression_beta_surprise,0.1481,0.0871,0.0018,2254.1435,3162.4687,1.0018,0.0179
1047,regression_beta_post_reversal,-0.0977,0.0106,0.0002,4815.226,4953.5656,1.0003,0.0382
1020,regression_beta_unexpected_uncertainty,-0.2276,0.8163,0.0212,1659.4875,1765.2697,1.0018,0.0124
1020,regression_noise,0.2523,0.0041,0.0001,5136.9828,4674.1277,1.0005,0.0385
1020,regression_beta_expected_uncertainty,0.685,0.6667,0.012,3143.6007,4416.8916,1.0008,0.0235
1020,regression_beta_post_error,0.1707,0.0308,0.0004,5088.1995,4966.3886,1.0018,0.0381
1020,xprob_volatility,-4.1758,1.1055,0.0273,1640.8015,2592.1583,1.0015,0.0123
1020,regression_intercept,5.695,0.2798,0.0074,1688.4918,1738.2727,1.0011,0.0126
1020,regression_beta_surprise,0.1338,0.0991,0.0024,2018.1208,1941.8715,1.0017,0.0151
1020,regression_beta_post_reversal,-0.1189,0.0134,0.0002,3456.0332,3495.3254,1.0004,0.0259
1021,regression_beta_unexpected_uncertainty,-0.0666,0.4982,0.011,2103.2806,2183.1565,1.0032,0.0184
1021,regression_noise,0.1888,0.0032,0.0001,2105.8746,1164.7676,1.0024,0.0185
1021,regression_beta_expected_uncertainty,0.1176,0.5842,0.0158,1536.9827,2723.083,1.0021,0.0135
1021,regression_beta_post_error,0.0539,0.0372,0.0005,5042.9138,5196.1472,1.0013,0.0442
1021,xprob_volatility,-3.9315,1.3739,0.0449,724.1651,371.6806,1.004,0.0063
1021,regression_intercept,5.9044,0.1622,0.0037,2124.856,1727.7711,1.0028,0.0186
1021,regression_beta_surprise,0.0433,0.0743,0.002,1570.4058,1612.1713,1.0033,0.0138
1021,regression_beta_post_reversal,-0.0055,0.0091,0.0001,4179.0955,4657.3696,1.0014,0.0366
1023,regression_beta_unexpected_uncertainty,0.837,0.7041,0.0198,1269.5882,2135.9289,1.0031,0.0086
1023,regression_noise,0.2486,0.0041,0,7004.4262,5842.5844,1.0006,0.0477
1023,regression_beta_expected_uncertainty,-0.95,0.5536,0.011,2673.2963,4054.0065,1.0009,0.0182
1023,regression_beta_post_error,0.0985,0.0338,0.0004,6736.5579,5293.997,1.0005,0.0459
1023,xprob_volatility,-3.3029,0.7095,0.0187,1483.5696,2140.0101,1.0024,0.0101
1023,regression_intercept,5.741,0.1839,0.0047,1632.5462,2765.4408,1.003,0.0111
1023,regression_beta_surprise,0.192,0.0671,0.0014,2708.6916,2704.7047,1.001,0.0184
1023,regression_beta_post_reversal,-0.0072,0.0116,0.0001,7200.6838,5347.3885,1.0004,0.049
1024,regression_beta_unexpected_uncertainty,-0.7992,0.5234,0.009,3447.7437,3725.28,1.0007,0.036
1024,regression_noise,0.2579,0.0043,0.0001,7196.8691,5112.3103,1.0001,0.0752
1024,regression_beta_expected_uncertainty,0.0755,0.4749,0.0083,3704.4507,3364.2329,1.0007,0.0387
1024,regression_beta_post_error,0.0711,0.0241,0.0003,7409.4729,5537.982,1.0009,0.0775
1024,xprob_volatility,-3.0851,0.8746,0.0174,2552.4471,3930.0479,1.001,0.0267
1024,regression_intercept,5.8375,0.1586,0.0028,3541.1182,3398.2,1.0007,0.037
1024,regression_beta_surprise,0.0651,0.0883,0.0017,2677.7425,3126.5441,1.0006,0.028
1024,regression_beta_post_reversal,0.109,0.0122,0.0001,8087.3237,5237.0337,0.9999,0.0846
1025,regression_beta_unexpected_uncertainty,0.481,0.5291,0.0111,2369.3546,2261.8157,1.0018,0.0207
1025,regression_noise,0.2001,0.0033,0,5450.5405,4964.7705,1,0.0476
1025,regression_beta_expected_uncertainty,0.5076,0.6422,0.0125,2737.6381,4024.0773,1.0002,0.0239
1025,regression_beta_post_error,0.1514,0.0344,0.0004,5920.6362,5024.485,1.0007,0.0518
1025,xprob_volatility,-4.0787,0.6858,0.0141,2373.5801,3714.436,1.0017,0.0207
1025,regression_intercept,5.593,0.1684,0.0034,2549.5164,2336.4293,1.0003,0.0223
1025,regression_beta_surprise,0.1771,0.0602,0.0011,2781.9201,3192.5101,1.0012,0.0243
1025,regression_beta_post_reversal,0.0128,0.0098,0.0001,5132.8197,5464.7364,1.0007,0.0449
1026,regression_beta_unexpected_uncertainty,0.6439,0.5715,0.0161,2051.985,1329.5772,1.0004,0.0225
1026,regression_noise,0.2438,0.0039,0,7072.1838,5668.3675,1.0015,0.0777
1026,regression_beta_expected_uncertainty,-0.8587,0.5079,0.0095,2718.4352,2055.7732,1.0009,0.0299
1026,regression_beta_post_error,0.2978,0.0532,0.0006,7170.6417,5026.9169,1.0007,0.0787
1026,xprob_volatility,-3.2256,0.7691,0.0223,1689.2865,1444.901,1.0031,0.0186
1026,regression_intercept,5.6659,0.1674,0.0047,2261.9846,1356.3785,1.0011,0.0248
1026,regression_beta_surprise,0.1433,0.0685,0.0018,2257.2001,1267.7499,1.0018,0.0248
1026,regression_beta_post_reversal,-0.018,0.0114,0.0001,6088.6001,4942.2638,1.0019,0.0669
1028,regression_beta_unexpected_uncertainty,0.3135,0.3795,0.0063,3708.878,3466.2437,1.0015,0.0423
1028,regression_noise,0.1727,0.0028,0,7474.7155,4925.6377,1.0011,0.0853
1028,regression_beta_expected_uncertainty,0.5012,0.1757,0.0033,4220.8035,2858.8042,1.0004,0.0482
