"","SID","Session","Block","Trial","Sequence","Stimt-2","Stimt-1","Stimt","RT","Response","Delay","post_reversal","Result","Trial_Number","Correct","log_RT","inverse_RT","post_error"
"40",1033,1,1,40,"High Prob","1","3","4",0.3546224,4,0.4,"0","Correct",40,1,-1.0367017175684,2.81990082972762,"0"
"41",1033,1,1,41,"High Prob","3","4","2",0.4753509,2,0.2,"0","Correct",41,1,-0.743702010837142,2.10370907049929,"0"
"42",1033,1,1,42,"High Prob","4","2","3",0.4693764,3,0.45,"0","Correct",42,1,-0.756350273778439,2.13048632185172,"0"
"43",1033,1,1,43,"High Prob","2","3","1",0.3013955,1,0.5,"0","Correct",43,1,-1.19933192322635,3.3178995704979,"0"
"44",1033,1,1,44,"High Prob","3","1","2",0.4121155,2,0.5,"0","Correct",44,1,-0.886451629114646,2.42650422029747,"0"
"45",1033,1,1,45,"High Prob","1","2","1",0.3988465,1,0.3,"0","Correct",45,1,-0.919178647892284,2.50723022516181,"0"
"46",1033,1,1,46,"High Prob","2","1","4",0.2815568,4,0.5,"0","Correct",46,1,-1.26742107555754,3.55168122382411,"0"
"47",1033,1,1,47,"Low Prob","1","4","2",0.3989193,2,0.35,"0","Correct",47,1,-0.918996138187801,2.50677267306947,"0"
"48",1033,1,1,48,"High Prob","4","2","3",0.4516308,3,0.25,"0","Correct",48,1,-0.79489024708365,2.21419796878335,"0"
"49",1033,1,1,49,"High Prob","2","3","1",0.5023433,1,0.25,"0","Correct",49,1,-0.688471528477378,1.99067052352445,"0"
"50",1033,1,1,50,"High Prob","3","1","2",0.4250901,2,0.6,"0","Correct",50,1,-0.855454132526545,2.35244245866935,"0"
"51",1033,1,1,51,"High Prob","1","2","1",0.4311929,1,0.2,"0","Correct",51,1,-0.84119972520009,2.31914764830311,"0"
"52",1033,1,1,52,"High Prob","2","1","4",0.4031737,4,0.25,"0","Correct",52,1,-0.908387792527031,2.48032051693848,"0"
"53",1033,1,1,53,"High Prob","1","4","3",0.4019352,3,0.4,"0","Correct",53,1,-0.911464397386121,2.48796323387452,"0"
"54",1033,1,1,54,"High Prob","4","3","2",0.4506586,2,0.35,"0","Correct",54,1,-0.797045210615818,2.21897462957547,"0"
"55",1033,1,1,55,"Low Prob","3","2","3",0.4193891,3,0.3,"0","Correct",55,1,-0.868956150360873,2.38442057745421,"0"
"56",1033,1,1,56,"High Prob","2","3","1",0.4194522,1,0.35,"0","Correct",56,1,-0.868805704739945,2.38406187880288,"0"
"57",1033,1,1,57,"High Prob","3","1","2",0.4094672,2,0.6,"0","Correct",57,1,-0.892898476577101,2.4421980564011,"0"
"58",1033,1,1,58,"High Prob","1","2","1",0.2981851,1,0.35,"0","Correct",58,1,-1.21004084436532,3.35362162629856,"0"
"59",1033,1,1,59,"Low Prob","2","1","3",0.5689297,3,0.5,"0","Correct",59,1,-0.56399840257662,1.75768640659821,"0"
"60",1033,1,1,60,"High Prob","1","3","4",NA,4,0.5,"0","Correct",60,1,NA,NA,"0"
"61",1033,1,1,61,"High Prob","3","4","2",0.5377238,2,0.2,"0","Correct",61,1,-0.620410233546102,1.85969079293124,"0"
"62",1033,1,1,62,"High Prob","4","2","3",0.5630834,3,0.4,"0","Correct",62,1,-0.574327526822232,1.77593585603838,"0"
"63",1033,1,1,63,"High Prob","2","3","1",0.3038551,1,0.3,"0","Correct",63,1,-1.19120433594397,3.29104234222167,"0"
"64",1033,1,1,64,"High Prob","3","1","2",0.402528,2,0.4,"0","Correct",64,1,-0.909990619325675,2.48429922887352,"0"
"65",1033,1,1,65,"Low Prob","1","2","4",0.3032354,4,0.45,"0","Correct",65,1,-1.1932458774118,3.29776800465909,"0"
"66",1033,1,1,66,"High Prob","2","4","1",0.2780037,1,0.3,"0","Correct",66,1,-1.28012085602755,3.59707442742669,"0"
"67",1033,1,1,67,"High Prob","4","1","3",0.2779988,3,0.5,"0","Correct",67,1,-1.28013848184758,3.59713782937193,"0"
"68",1033,1,1,68,"High Prob","1","3","4",0.3680649,4,0.25,"0","Correct",68,1,-0.999495997666921,2.71691215326428,"0"
"69",1033,1,1,69,"High Prob","3","4","2",0.4220676,2,0.25,"0","Correct",69,1,-0.862589788201645,2.36928871109746,"0"
"70",1033,1,1,70,"High Prob","4","2","3",0.5561666,3,0.2,"0","Correct",70,1,-0.58668738932697,1.79802239113244,"0"
"71",1033,1,1,71,"High Prob","2","3","1",0.406851,1,0.35,"0","Correct",71,1,-0.899308253934171,2.4579022787212,"0"
"72",1033,1,1,72,"High Prob","3","1","2",0.3195707,2,0.55,"0","Correct",72,1,-1.14077674638899,3.12919801471161,"0"
"73",1033,1,1,73,"High Prob","1","2","1",0.3516132,1,0.45,"0","Correct",73,1,-1.04522357121371,2.84403429677839,"0"
"74",1033,1,1,74,"High Prob","2","1","4",0.3763287,4,0.2,"0","Correct",74,1,-0.977292315356712,2.65725149317605,"0"
"75",1033,1,1,75,"High Prob","1","4","3",0.3043666,3,0.6,"0","Correct",75,1,-1.18952238306204,3.28551161658342,"0"
"76",1033,1,1,76,"High Prob","4","3","2",0.4571137,2,0.25,"0","Correct",76,1,-0.782823122533743,2.1876395303838,"0"
"77",1033,1,1,77,"High Prob","3","2","4",0.2877684,4,0.55,"0","Correct",77,1,-1.24559928902832,3.4750167148304,"0"
"78",1033,1,1,78,"High Prob","2","4","1",0.6031417,1,0.2,"0","Correct",78,1,-0.505603118153052,1.65798517993367,"0"
"79",1033,1,1,79,"High Prob","4","1","3",0.4058613,3,0.3,"0","Correct",79,1,-0.901743803363492,2.46389591715199,"0"
"80",1033,1,1,80,"High Prob","1","3","4",0.3606331,4,0.3,"0","Correct",80,1,-1.01989418096682,2.77290132270166,"0"
