Block	Trial	Sequence	NumA	NumB	NumC	RT	Response	Delay
1	114	A	4	1	3	3.04E-01	3	3.50E-01
1	115	A	1	3	4	2.69E-01	4	3.50E-01
1	116	A	3	4	2	3.00E-01	2	2.00E-01
1	117	A	4	2	3	3.86E-01	3	5.00E-01
1	118	A	2	3	1	2.73E-01	1	5.00E-01
1	119	A	3	1	2	3.89E-01	2	3.00E-01
1	120	A	1	2	1	3.38E-01	1	5.50E-01
2	1	A	2	3	1	3.47E-01	1	3.50E-01
2	2	A	3	1	2	3.25E-01	2	2.50E-01
2	3	A	1	2	1	3.39E-01	1	5.00E-01
2	4	A	2	1	4	2.94E-01	4	2.50E-01
2	5	A	1	4	3	4.21E-01	3	5.50E-01
2	6	A	4	3	2	2.52E-01	2	3.50E-01
2	7	B	3	2	3	3.06E-01	3	3.00E-01
2	8	A	2	3	1	3.08E-01	1	2.50E-01
2	9	B	3	1	4	2.99E-01	4	4.00E-01
2	10	A	1	4	3	3.12E-01	3	4.50E-01
2	11	A	4	3	2	3.26E-01	3	5.50E-01
2	12	A	3	2	4	2.77E-01	4	5.50E-01
2	13	A	2	4	1	2.85E-01	1	4.00E-01
2	14	A	4	1	3	2.92E-01	3	6.00E-01
2	15	A	1	3	4	3.25E-01	4	4.50E-01
2	16	A	3	4	2	2.65E-01	2	4.50E-01
2	17	A	4	2	3	3.60E-01	3	6.00E-01
2	18	B	2	3	4	2.79E-01	4	4.50E-01
2	19	A	3	4	2	2.79E-01	2	4.00E-01
2	20	A	4	2	3	3.25E-01	3	4.50E-01
2	21	A	2	3	1	2.88E-01	1	2.00E-01
2	22	A	3	1	2	3.83E-01	2	2.50E-01
2	23	A	1	2	1	3.29E-01	1	4.50E-01
2	24	A	2	1	4	3.05E-01	4	4.00E-01
2	25	A	1	4	3	2.99E-01	3	4.00E-01
2	26	A	4	3	2	2.79E-01	2	2.50E-01
2	27	B	3	2	3	3.99E-01	3	2.50E-01
2	28	A	2	3	1	3.01E-01	1	2.50E-01
2	29	A	3	1	2	3.61E-01	2	2.00E-01
2	30	A	1	2	1	3.70E-01	1	2.00E-01
2	31	A	2	1	4	3.15E-01	4	5.50E-01
2	32	B	1	4	2	3.27E-01	2	3.50E-01
2	33	A	4	2	3	3.22E-01	3	3.00E-01
2	34	A	2	3	1	2.14E-01	1	4.50E-01
2	35	A	3	1	2	3.21E-01	2	5.50E-01
2	36	A	1	2	1	4.00E-01	1	2.50E-01
2	37	A	2	1	4	3.33E-01	4	2.50E-01
2	38	A	1	4	3	3.23E-01	3	6.00E-01
2	39	B	4	3	1	3.36E-01	1	5.00E-01
2	40	A	3	1	2	3.47E-01	2	3.50E-01
2	41	A	1	2	1	3.60E-01	1	2.50E-01
2	42	B	2	1	3	3.37E-01	3	4.00E-01
2	43	A	1	3	4	2.64E-01	4	5.00E-01
2	44	A	3	4	2	3.20E-01	2	3.00E-01
2	45	B	4	2	1	2.93E-01	1	2.00E-01
2	46	A	2	1	4	3.47E-01	4	2.00E-01
2	47	B	1	4	2	2.59E-01	2	3.00E-01
2	48	B	4	2	1	2.73E-01	1	3.00E-01
2	49	A	2	1	4	3.13E-01	4	2.00E-01
2	50	A	1	4	3	3.27E-01	3	2.00E-01
2	51	A	4	3	2	3.36E-01	2	4.00E-01
2	52	B	3	2	3	3.62E-01	3	3.00E-01
2	53	A	2	3	1	2.70E-01	1	5.00E-01
2	54	A	3	1	2	3.22E-01	2	5.00E-01
2	55	B	1	2	4	3.19E-01	4	4.50E-01
2	56	A	2	4	1	3.36E-01	1	3.50E-01
2	57	A	4	1	3	3.74E-01	3	2.50E-01
2	58	B	1	3	2	3.33E-01	2	5.50E-01
2	59	A	3	2	4	3.23E-01	4	2.00E-01
2	60	B	2	4	3	4.29E-01	3	2.50E-01
2	61	A	4	3	2	4.11E-01	2	4.50E-01
2	62	A	3	2	4	3.31E-01	4	4.50E-01
2	63	B	2	4	3	2.83E-01	3	6.00E-01
2	64	A	4	3	2	2.97E-01	2	3.50E-01
2	65	B	3	2	3	3.70E-01	3	3.50E-01
2	66	A	2	3	1	2.81E-01	1	2.50E-01
2	67	A	3	1	2	3.05E-01	2	4.50E-01
2	68	A	1	2	1	4.13E-01	1	2.00E-01
2	69	B	2	1	3	3.26E-01	3	2.00E-01
2	70	A	1	3	4	3.11E-01	4	5.50E-01
2	71	A	3	4	2	3.12E-01	2	3.50E-01
2	72	A	4	2	3	2.70E-01	3	4.50E-01
2	73	A	2	3	1	2.73E-01	1	3.00E-01
2	74	B	3	1	4	3.59E-01	4	3.50E-01
2	75	A	1	4	3	3.26E-01	3	3.50E-01
2	76	A	4	3	2	2.55E-01	2	3.00E-01
2	77	B	3	2	3	3.57E-01	3	2.50E-01
2	78	A	2	3	1	2.83E-01	1	4.50E-01
2	79	B	3	1	4	2.50E-01	4	4.50E-01
2	80	A	1	4	3	3.09E-01	3	2.50E-01
2	81	A	4	3	2	2.71E-01	2	3.00E-01
2	82	A	3	2	4	3.11E-01	4	5.00E-01
2	83	A	2	4	1	2.81E-01	1	2.00E-01
2	84	A	4	1	3	3.01E-01	3	3.00E-01
2	85	A	1	3	4	3.29E-01	4	2.50E-01
2	86	A	3	4	2	2.70E-01	2	5.00E-01
2	87	A	4	2	3	3.04E-01	3	4.50E-01
2	88	A	2	3	1	2.71E-01	1	5.00E-01
2	89	A	3	1	2	3.59E-01	2	3.00E-01
2	90	A	1	2	1	3.97E-01	1	3.50E-01
2	91	A	2	1	4	2.87E-01	4	3.50E-01
2	92	B	1	4	2	3.38E-01	2	3.50E-01
2	93	A	4	2	3	3.10E-01	3	3.00E-01
2	94	A	2	3	1	3.65E-01	1	4.00E-01
2	95	B	3	1	4	3.22E-01	4	5.00E-01
2	96	B	1	4	2	2.37E-01	2	4.00E-01
2	97	A	4	2	3	3.14E-01	4	2.50E-01
2	98	A	2	3	1	2.77E-01	1	4.00E-01
2	99	B	3	1	4	2.47E-01	4	4.00E-01
2	100	A	1	4	3	2.98E-01	3	5.00E-01
2	101	A	4	3	2	2.43E-01	2	4.00E-01
2	102	A	3	2	4	2.87E-01	4	3.00E-01
2	103	A	2	4	1	2.40E-01	2	6.00E-01
2	104	A	4	1	3	2.93E-01	3	4.50E-01
2	105	A	1	3	4	3.34E-01	4	3.00E-01
2	106	A	3	4	2	2.66E-01	1	5.00E-01
2	107	A	4	2	3	3.63E-01	1	5.50E-01
2	108	A	2	3	1	3.86E-01	1	5.50E-01
2	109	A	3	1	2	3.45E-01	2	3.50E-01
2	110	A	1	2	1	3.27E-01	1	3.50E-01
2	111	B	2	1	3	2.74E-01	3	4.50E-01
2	112	A	1	3	4	3.02E-01	4	3.50E-01
2	113	A	3	4	2	2.17E-01	2	5.50E-01
2	114	A	4	2	3	4.01E-01	3	6.00E-01
