,SID,Session,Block,Trial,Sequence,Stimt-2,Stimt-1,Stimt,RT,Response,Delay,Result,Trial_Number,Correct,log_RT,inverse_RT,post_error
52,1033,Baseline,1,52,High Prob,2,1,4,0.4031737,4,0.25,Correct,52,1,-0.908387793,2.480320517,0
53,1033,Baseline,1,53,High Prob,1,4,3,0.4019352,3,0.4,Correct,53,1,-0.911464397,2.487963234,0
54,1033,Baseline,1,54,High Prob,4,3,2,0.4506586,2,0.35,Correct,54,1,-0.797045211,2.21897463,0
55,1033,Baseline,1,55,Low Prob,3,2,3,0.4193891,3,0.3,Correct,55,1,-0.86895615,2.384420577,0
56,1033,Baseline,1,56,High Prob,2,3,1,0.4194522,1,0.35,Correct,56,1,-0.868805705,2.384061879,0
57,1033,Baseline,1,57,High Prob,3,1,2,0.4094672,2,0.6,Correct,57,1,-0.892898477,2.442198056,0
58,1033,Baseline,1,58,High Prob,1,2,1,0.2981851,1,0.35,Correct,58,1,-1.210040844,3.353621626,0
59,1033,Baseline,1,59,Low Prob,2,1,3,0.5689297,3,0.5,Correct,59,1,-0.563998403,1.757686407,0
60,1033,Baseline,1,60,High Prob,1,3,4,0.6529669,4,0.5,Correct,60,1,-0.42622884,1.531471197,0
61,1033,Baseline,1,61,High Prob,3,4,2,0.5377238,2,0.2,Correct,61,1,-0.620410234,1.859690793,0
62,1033,Baseline,1,62,High Prob,4,2,3,0.5630834,3,0.4,Correct,62,1,-0.574327527,1.775935856,0
63,1033,Baseline,1,63,High Prob,2,3,1,0.3038551,1,0.3,Correct,63,1,-1.191204336,3.291042342,0
64,1033,Baseline,1,64,High Prob,3,1,2,0.402528,2,0.4,Correct,64,1,-0.909990619,2.484299229,0
65,1033,Baseline,1,65,Low Prob,1,2,4,0.3032354,4,0.45,Correct,65,1,-1.193245877,3.297768005,0
66,1033,Baseline,1,66,High Prob,2,4,1,0.2780037,1,0.3,Correct,66,1,-1.280120856,3.597074427,0
67,1033,Baseline,1,67,High Prob,4,1,3,0.2779988,3,0.5,Correct,67,1,-1.280138482,3.597137829,0
68,1033,Baseline,1,68,High Prob,1,3,4,0.3680649,4,0.25,Correct,68,1,-0.999495998,2.716912153,0
69,1033,Baseline,1,69,High Prob,3,4,2,0.4220676,2,0.25,Correct,69,1,-0.862589788,2.369288711,0
70,1033,Baseline,1,70,High Prob,4,2,3,0.5561666,3,0.2,Correct,70,1,-0.586687389,1.798022391,0
71,1033,Baseline,1,71,High Prob,2,3,1,0.406851,1,0.35,Correct,71,1,-0.899308254,2.457902279,0
72,1033,Baseline,1,72,High Prob,3,1,2,0.3195707,2,0.55,Correct,72,1,-1.140776746,3.129198015,0
73,1033,Baseline,1,73,High Prob,1,2,1,0.3516132,1,0.45,Correct,73,1,-1.045223571,2.844034297,0
74,1033,Baseline,1,74,High Prob,2,1,4,0.3763287,4,0.2,Correct,74,1,-0.977292315,2.657251493,0
75,1033,Baseline,1,75,High Prob,1,4,3,0.3043666,3,0.6,Correct,75,1,-1.189522383,3.285511617,0
76,1033,Baseline,1,76,High Prob,4,3,2,0.4571137,2,0.25,Correct,76,1,-0.782823123,2.18763953,0
77,1033,Baseline,1,77,High Prob,3,2,4,0.2877684,4,0.55,Correct,77,1,-1.245599289,3.475016715,0
78,1033,Baseline,1,78,High Prob,2,4,1,0.6031417,1,0.2,Correct,78,1,-0.505603118,1.65798518,0
79,1033,Baseline,1,79,High Prob,4,1,3,0.4058613,3,0.3,Correct,79,1,-0.901743803,2.463895917,0
80,1033,Baseline,1,80,High Prob,1,3,4,0.3606331,4,0.3,Correct,80,1,-1.019894181,2.772901323,0
81,1033,Baseline,1,81,High Prob,3,4,2,0.4893511,2,0.4,Correct,81,1,-0.714675051,2.043522534,0
82,1033,Baseline,1,82,High Prob,4,2,3,0.3807561,3,0.6,Correct,82,1,-0.965596266,2.626353196,0
83,1033,Baseline,1,83,High Prob,2,3,1,0.5287867,1,0.3,Correct,83,1,-0.637170142,1.891121694,0
84,1033,Baseline,1,84,Low Prob,3,1,4,0.3268462,4,0.5,Correct,84,1,-1.118265555,3.05954299,0
85,1033,Baseline,1,85,Low Prob,1,4,2,0.4009076,2,0.6,Correct,85,1,-0.914024302,2.494340342,0
86,1033,Baseline,1,86,High Prob,4,2,3,0.4996308,3,0.3,Correct,86,1,-0.693885853,2.001477891,0
87,1033,Baseline,1,87,High Prob,2,3,1,0.3483316,1,0.45,Correct,87,1,-1.054600379,2.870827683,0
88,1033,Baseline,1,88,High Prob,3,1,2,0.445122,2,0.4,Correct,88,1,-0.809406877,2.246575096,0
89,1033,Baseline,1,89,High Prob,1,2,1,0.4404575,1,0.45,Correct,89,1,-0.81994132,2.270366607,0
90,1033,Baseline,1,90,High Prob,2,1,4,0.4598326,4,0.25,Correct,90,1,-0.776892769,2.174704447,0
91,1033,Baseline,1,91,High Prob,1,4,3,0.422636,3,0.45,Correct,91,1,-0.86124399,2.366102272,0
92,1033,Baseline,1,92,High Prob,4,3,2,0.4026282,2,0.45,Correct,92,1,-0.909741724,2.483680974,0
93,1033,Baseline,1,93,High Prob,3,2,4,0.4133371,4,0.5,Correct,93,1,-0.883491796,2.419332792,0
94,1033,Baseline,1,94,High Prob,2,4,1,0.4000211,1,0.3,Correct,94,1,-0.916237983,2.499868132,0
95,1033,Baseline,1,95,High Prob,4,1,3,0.3807586,3,0.45,Correct,95,1,-0.9655897,2.626335951,0
96,1033,Baseline,1,96,High Prob,1,3,4,0.4408059,4,0.5,Correct,96,1,-0.819150636,2.268572177,0
97,1033,Baseline,1,97,High Prob,3,4,2,0.424208,2,0.35,Correct,97,1,-0.857531378,2.357334138,0
98,1033,Baseline,1,98,Low Prob,4,2,1,0.2542588,1,0.6,Correct,98,1,-1.369402633,3.933000549,0
99,1033,Baseline,1,99,High Prob,2,1,4,0.3809794,4,0.55,Correct,99,1,-0.965009974,2.624813835,0
100,1033,Baseline,1,100,High Prob,1,4,3,0.4009911,3,0.3,Correct,100,1,-0.913816046,2.493820935,0
101,1033,Baseline,1,101,High Prob,4,3,2,0.5837419,2,0.2,Correct,101,1,-0.538296346,1.713085869,0
102,1033,Baseline,1,102,High Prob,3,2,4,0.3831761,4,0.4,Correct,102,1,-0.959260604,2.60976611,0
103,1033,Baseline,1,103,High Prob,2,4,1,0.3045841,1,0.35,Correct,103,1,-1.188808039,3.283165471,0
104,1033,Baseline,1,104,High Prob,4,1,3,0.405225,3,0.35,Correct,104,1,-0.903312811,2.467764822,0
105,1033,Baseline,1,105,High Prob,1,3,4,0.3659746,4,0.55,Correct,105,1,-1.005191347,2.732430065,0
106,1033,Baseline,1,106,High Prob,3,4,2,0.4800063,2,0.35,Correct,106,1,-0.73395605,2.08330599,0
107,1033,Baseline,1,107,High Prob,4,2,3,0.3940611,3,0.45,Correct,107,1,-0.931249306,2.537677533,0
108,1033,Baseline,1,108,High Prob,2,3,1,0.5173955,1,0.5,Correct,108,1,-0.658947707,1.932757436,0
109,1033,Baseline,1,109,Low Prob,3,1,4,0.4614561,4,0.45,Correct,109,1,-0.773368354,2.167053377,0
110,1033,Baseline,1,110,High Prob,1,4,3,0.4342519,3,0.2,Correct,110,1,-0.834130499,2.30281088,0
111,1033,Baseline,1,111,High Prob,4,3,2,0.4555946,2,0.2,Correct,111,1,-0.7861519,2.194933829,0
112,1033,Baseline,1,112,High Prob,3,2,4,0.3783112,4,0.25,Correct,112,1,-0.972038142,2.643326447,0
113,1033,Baseline,1,113,High Prob,2,4,1,0.3123702,2,0.45,Wrong,113,0,-1.163566256,3.201329704,1
114,1033,Baseline,1,114,High Prob,4,1,3,0.4430806,3,0.4,Correct,114,1,-0.814003584,2.256925715,0
115,1033,Baseline,1,115,High Prob,1,3,4,0.3824056,4,0.25,Correct,115,1,-0.961273454,2.615024466,0
116,1033,Baseline,1,116,High Prob,3,4,2,0.2778014,1,0.6,Wrong,116,0,-1.280848809,3.599693882,1
117,1033,Baseline,1,117,High Prob,4,2,3,0.3758962,3,0.45,Correct,117,1,-0.978442238,2.660308883,0
118,1033,Baseline,1,118,High Prob,2,3,1,0.4459321,1,0.25,Correct,118,1,-0.807588581,2.242493868,0
119,1033,Baseline,1,119,High Prob,3,1,2,0.4373757,2,0.55,Correct,119,1,-0.826962728,2.286363874,0
120,1033,Baseline,1,120,High Prob,1,2,1,0.3187185,1,0.5,Correct,120,1,-1.143447011,3.137564967,0
121,1033,Baseline,2,1,High Prob,2,3,1,0.3456393,1,0.2,Correct,121,1,-1.062359533,2.893189519,0
122,1033,Baseline,2,2,High Prob,3,1,2,0.2809994,2,0.45,Correct,122,1,-1.269402745,3.55872646,0
123,1033,Baseline,2,3,High Prob,1,2,1,0.2490615,1,0.5,Correct,123,1,-1.390055425,4.015072582,0
124,1033,Baseline,2,4,High Prob,2,1,4,0.371755,4,0.25,Correct,124,1,-0.989520244,2.689943646,0
125,1033,Baseline,2,5,High Prob,1,4,3,0.3158369,3,0.6,Correct,125,1,-1.152529338,3.166191158,0
126,1033,Baseline,2,6,High Prob,4,3,2,0.4918807,2,0.45,Correct,126,1,-0.709519072,2.03301329,0
127,1033,Baseline,2,7,Low Prob,3,2,3,0.5252497,3,0.25,Correct,127,1,-0.64388151,1.903856394,0
128,1033,Baseline,2,8,High Prob,2,3,1,0.319331,1,0.6,Correct,128,1,-1.141527097,3.13154689,0
129,1033,Baseline,2,9,Low Prob,3,1,4,0.2873865,4,0.45,Correct,129,1,-1.246927279,3.479634569,0
130,1033,Baseline,2,10,High Prob,1,4,3,0.3947363,3,0.2,Correct,130,1,-0.929537332,2.533336812,0
131,1033,Baseline,2,11,High Prob,4,3,2,0.4981396,2,0.6,Correct,131,1,-0.69687492,2.007469392,0
132,1033,Baseline,2,12,High Prob,3,2,4,0.3668998,4,0.35,Correct,132,1,-1.002666493,2.72553978,0
133,1033,Baseline,2,13,High Prob,2,4,1,0.4489629,1,0.35,Correct,133,1,-0.800815023,2.227355534,0
134,1033,Baseline,2,14,High Prob,4,1,3,0.5235808,3,0.45,Correct,134,1,-0.647063915,1.909924886,0
135,1033,Baseline,2,15,High Prob,1,3,4,0.4156949,4,0.55,Correct,135,1,-0.877803701,2.405610461,0
136,1033,Baseline,2,16,High Prob,3,4,2,0.4177396,2,0.3,Correct,136,1,-0.872897007,2.393835777,0
137,1033,Baseline,2,17,High Prob,4,2,3,0.5058039,3,0.55,Correct,137,1,-0.681606234,1.97705079,0
138,1033,Baseline,2,18,Low Prob,2,3,4,0.3525387,4,0.5,Correct,138,1,-1.042594876,2.836568014,0
139,1033,Baseline,2,19,High Prob,3,4,2,0.5112827,2,0.45,Correct,139,1,-0.670832613,1.955865121,0
140,1033,Baseline,2,20,High Prob,4,2,3,0.4859832,3,0.5,Correct,140,1,-0.721581224,2.057684299,0
141,1033,Baseline,2,21,High Prob,2,3,1,0.5113688,1,0.45,Correct,141,1,-0.670664227,1.955535809,0
142,1033,Baseline,2,22,High Prob,3,1,2,0.482111,2,0.6,Correct,142,1,-0.729580901,2.074211126,0
143,1033,Baseline,2,23,High Prob,1,2,1,0.4315026,1,0.35,Correct,143,1,-0.840481743,2.317483139,0
144,1033,Baseline,2,24,High Prob,2,1,4,0.4568838,4,0.5,Correct,144,1,-0.783326187,2.188740332,0
145,1033,Baseline,2,25,High Prob,1,4,3,0.3256168,3,0.4,Correct,145,1,-1.122034049,3.071094612,0
146,1033,Baseline,2,26,High Prob,4,3,2,0.3836626,2,0.6,Correct,146,1,-0.957991758,2.606456819,0
147,1033,Baseline,2,27,Low Prob,3,2,3,0.4290466,3,0.45,Correct,147,1,-0.846189741,2.330749154,0
148,1033,Baseline,2,28,High Prob,2,3,1,0.3271074,1,0.5,Correct,148,1,-1.117466722,3.057099901,0
149,1033,Baseline,2,29,High Prob,3,1,2,0.4611531,2,0.3,Correct,149,1,-0.774025187,2.168477237,0
150,1033,Baseline,2,30,High Prob,1,2,1,0.4638149,1,0.25,Correct,150,1,-0.768269729,2.156032503,0
151,1033,Baseline,2,31,High Prob,2,1,4,0.498534,4,0.25,Correct,151,1,-0.696083487,2.005881244,0
152,1033,Baseline,2,32,Low Prob,1,4,2,0.3532948,2,0.3,Correct,152,1,-1.040452443,2.830497364,0
153,1033,Baseline,2,33,High Prob,4,2,3,0.3200102,3,0.45,Correct,153,1,-1.139402409,3.124900394,0
154,1033,Baseline,2,34,High Prob,2,3,1,0.3680633,1,0.45,Correct,154,1,-0.999500345,2.716923964,0
155,1033,Baseline,2,35,High Prob,3,1,2,0.3441285,2,0.6,Correct,155,1,-1.066740145,2.905891259,0
156,1033,Baseline,2,36,High Prob,1,2,1,0.4014979,1,0.2,Correct,156,1,-0.912552976,2.490673052,0
157,1033,Baseline,2,37,High Prob,2,1,4,0.4322133,4,0.4,Correct,157,1,-0.838836063,2.313672439,0
158,1033,Baseline,2,38,High Prob,1,4,3,0.4296054,3,0.4,Correct,158,1,-0.844888166,2.327717482,0
159,1033,Baseline,2,39,Low Prob,4,3,1,0.4196329,1,0.2,Correct,159,1,-0.868374998,2.383035267,0
