,SID,Session,Block,Trial,Sequence,t-2,t-1,t,RT,Response,Delay,Result,Trial_Number,Correct,cutoff,log_RT,inverse_RT,post_error
42,1005,Baseline,1,44,High Prob,3,1,2,0.4093441,2,0.45,Correct,44,1,0.553885676,-0.893199156,2.442932486,0
43,1005,Baseline,1,45,High Prob,1,2,1,0.372064,1,0.5,Correct,45,1,0.553885676,-0.988689396,2.687709641,0
44,1005,Baseline,1,46,High Prob,2,1,4,0.3061127,4,0.45,Correct,46,1,0.553885676,-1.183801944,3.266770702,0
45,1005,Baseline,1,47,Low Prob,1,4,2,0.4948228,2,0.55,Correct,47,1,0.581374264,-0.70355556,2.020925471,0
46,1005,Baseline,1,48,High Prob,4,2,3,0.3062527,3,0.6,Correct,48,1,0.553885676,-1.183344701,3.265277335,0
47,1005,Baseline,1,49,High Prob,2,3,1,0.3510008,1,0.55,Correct,49,1,0.553885676,-1.046966776,2.848996356,0
48,1005,Baseline,1,50,High Prob,3,1,2,0.3977006,2,0.45,Correct,50,1,0.553885676,-0.922055818,2.514454341,0
49,1005,Baseline,1,51,High Prob,1,2,1,0.4811062,1,0.3,Correct,51,1,0.553885676,-0.731667243,2.078543157,0
50,1005,Baseline,1,52,High Prob,2,1,4,0.3891684,4,0.6,Correct,52,1,0.553885676,-0.943743124,2.569581703,0
51,1005,Baseline,1,53,High Prob,1,4,3,0.3425788,3,0.35,Correct,53,1,0.553885676,-1.071253575,2.919036438,0
52,1005,Baseline,1,54,High Prob,4,3,2,0.4239458,2,0.4,Correct,54,1,0.553885676,-0.858149662,2.358792091,0
53,1005,Baseline,1,55,Low Prob,3,2,3,0.5679408,3,0.35,Correct,55,1,0.581374264,-0.565738091,1.760746895,0
54,1005,Baseline,1,56,High Prob,2,3,1,0.318052,1,0.45,Correct,56,1,0.553885676,-1.145540388,3.144139952,0
55,1005,Baseline,1,57,High Prob,3,1,2,0.3440705,2,0.6,Correct,57,1,0.553885676,-1.066908701,2.906381105,0
